name,subtitle,description,cost,artwork,persuasion,source
la blouse blanche,ça doit être quelqu’un de sérieux ,,2,,0.2,effet de halo
produit dérivé ,il est bon en marketing! il porte lui même des produits dérivés de sa thérapie,,2,,0.2,
c'est jean-claude,"si jean-claude à crée une thérapie, pourquoi pas vous?",,2,,0.2,
depuis la nuit des temps,cette thérapie existe depuis la nuit des temps... depuis tellement longtemps qu'on ne saurait dire quand,,2,,0.2,appel à la tradition
évolution,ma thérapie s'enrichie et évolue avec des nouvelles connaissances ,,2,,0.2,
traditionalisme,pourquoi apporter des changements à une technique aussi ancienne?,,2,,0.2,appel à la tradition
exotisme,c'est quand même bien quand ça vient d'ailleurs,,2,,0.2,appel à l'exotisme
un cocktail créatif,envie de proposer une nouvelle thérapie? mixer vos connaissances?,,2,,0.2,
d'origine naturelle,nature = bien ?,,2,,0.2,appel à la nature
popularité,"déjà 100000  personnes convaincues, et vous?",,2,,0.2,appel à la popularité
on se fait une visio?,même pas besoin de sortir du canap',"En commençant par le téléphone, puis internet, les technologies sont croissantes et les plates formes de support se diversifient. un grand nombre de médecins et therapeutes proposent des consultations en visio. ",2,https://www.istockphoto.com/fr/vectoriel/disposition-de-l%C3%A9cran-dappel-vid%C3%A9o-communication-sur-internet-illustration-de-gm1253306898-365977394?phrase=skype&searchscope=image%2Cfilm,0.2,
direction le cab',quoi de plus classique qu'un rendez-vous en cabinet,,2,,0.2,
influenceur,et si les réseaux sociaux choisissaient votre thérapeute à votre place?,,2,,0.2,
stages,quelques jours loin du quotidien,,2,,0.2,
en extérieur,pouquoi pas une thérapie dans la forêt? ,,2,,0.2,
enroulement tissulaire spiralé transversal,vous ne saviez pas que ça existait? ...nous non plus...,peut-être que l'enroulement tissulaire spiralé transversal est la source du problème ... ,2,,0.2,
paix intérieure,cette quête a-t-elle une destination?,,2,,0.2,
quête de sens,pourquoi si? pourquoi ça? la route des pouquoi ,,2,,0.2,
energie,,,2,,0.2,
un pour tout,"c'est magique, une seule technique sui soigne tout!",,2,,0.2,
le toucher,le pouvoir du toucher magique,,2,,0.2,https://pubmed.ncbi.nlm.nih.gov/29034802/
le ressenti,"mon thérapeute n'a pas besoin de savoir, puisqu'il ressent",,2,,0.2,effet idéomoteur
le conseil,"parfois, des paroles suffisent...",,2,,0.2,"modèle BPS, ETP, entretien motivationnel"
la boîte à outils,"sortir sa boîte à outils, son matériel de soins. celui-là, il n'utilise pas ses mains",,2,,0.2,
le roi,pourquoi faire quelque chose? mon thérapeute le fait pour moi,en gros c'est l'idée du patient passif,2,,0.2,
actif,"comme patient, j'ai le pouvoir de faire des choix",idée patient actif,2,,0.2,
bonjour à tous,"que ça aille ou pas, ce thérapeute vous acceuillera",,2,,0.2,
bonjour si ça va pas,attention! a consulter uniquement si ce n'est pas la grande forme. mais... pourquoi consulter dans d'autres cas,,2,,0.2,
mots compliqués,ça donne un côté sérieux d'employer des mots que le patient ne comprend pas,,2,,0.2,
le survivant,"tous ceux qui sont retournés voir ce thérapeute vont mieux, c'est bien que ça marche ?",,2,,0.2,biais du survivant
le diplôme,"il a fait 5 ans d'études et a un diplôme reconnu par l'Etat, c'est forcément une thérapie sérieuse, il sait de quoi il parle",,2,,0.2,argument d'autorité
"et surtout, ménagez votre dos","j'ai pas fait attention à mon dos et évidemment j'ai eu mal, pourtant il m'avait prévenu!",,2,,0.2,tri sélectif des données
la preuve anecdotique,j'avais mal à la tête donc je suis allé voir ce thérapeute et le lendemain je n'avais plus mal à la tête,,2,,0.2,"corrélation vs causalité, évolution spontanée, effets non spécifiques"
,,,,,,inversion de la charge de la preuve